identifiant_interne,libelle,nom_court,sigle,type_detablissement,secteur_detablissement,vague_contractuelle,localisation,site_internet,geolocalisation,uai_identifiant,siret,siren,identifiant_wikidata,element_wikidata,identifiant_idref,identifiant_eter,identifiant_ror,element_ror,identifiant_isni,element_isni,date_creation,code_commune,commune,code_unite_urbaine,unite_urbaine,code_departement,departement,code_academie,academie,code_region,region,ancien_code_region,ancienne_region,adresse,code_postal,localite,pays,numero_de_telephone,statut_juridique_court,statut_juridique,compte_facebook,compte_twitter,compte_instagram,compte_linkedin,compte_youtube,scanr,article,champ_recherche,commune_std
H3NOD,UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE,,UTC,ECOLE,PUBLIC,VAGUE E,HAUTS DE FRANCE>AMIENS>OISE>COMPIEGNE,HTTPS://WWW.UTC.FR/,"49.40024, 2.800108",0601223D,19601223100169.0,196012231.0,Q622906,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q622906,026570564,FR0130,04Y5KWA70,HTTPS://ROR.ORG/04Y5KWA70,0000 0001 2189 2165,HTTP://WWW.ISNI.ORG/0000 0001 2189 2165,1972 10 02,60159.0,COMPIEGNE,UU60502,COMPIEGNE,D060,OISE,A20,AMIENS,R32,HAUTS DE FRANCE,R22,PICARDIE,RUE DU DOCTEUR SCHWEITZER,60203,COMPIEGNE CEDEX,FRANCE,33344234423.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/pages/utc universit c3 a9 de technologie de compi c3 a8gne/86348219317,HTTPS://TWITTER.COM/UTC_COMPIEGNE,HTTPS://WWW.INSTAGRAM.COM/UTCOMPIEGNE/,Https://www.linkedin.com/school/universit de technologie de compi gne/,Https://www.youtube.com/channel/ucevgircf101igkgszfgf0sq,Https://scanr.enseignementsup recherche.gouv.fr/entite/196012231,A L,Universite de technologie de compiegne university of technology of compiegne utc,60159.0
U8A0V,UNIVERSITE DE LILLE,,,UNIVERSITE,PUBLIC,VAGUE E,HAUTS DE FRANCE>LILLE>NORD>LILLE,HTTPS://WWW.UNIV LILLE.FR,"50.631794, 3.07526",0597239Y,13002975400012.0,130029754.0,,,259265152,,02KZQN938,HTTPS://ROR.ORG/02KZQN938,,,2021 09 21,59350.0,LILLE,UU59702,LILLE,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,42 RUE PAUL DUEZ,59800,LILLE,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/universitedelille,HTTPS://TWITTER.COM/UNIV_LILLE,HTTPS://WWW.INSTAGRAM.COM/UNIV_LILLE/,Https://www.linkedin.com/school/universite de lille/,HTTPS://WWW.YOUTUBE.COM/USER/UNIVLILLE1,Https://scanr.enseignementsup recherche.gouv.fr/organizations/130029754,A L,UNIVERSITE DE LILLE UNIVERSITY OF LILLE,59350.0
VH695,Centre des hautes etudes de la construction,,CHEC,ECOLE,PRIVE,VAGUE E,Ile de france>creteil>val de marne>paris>arcueil,HTTP://WWW.CHEC.FR/,"48.800733327820986, 2.327309846878052",0942283W,78461701100076.0,784617011.0,Q97293012,Https://www.wikidata.org/entity/q97293012,,,014E1XW86,HTTPS://ROR.ORG/014E1XW86,,,1957 09 01,94003.0,ARCUEIL,UU00851,PARIS,D094,VAL DE MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,1 RUE PAUL BERT,94110,ARCUEIL,FRANCE,33149691770.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,,,,,,,AU,Centre des hautes etudes de la construction chec,94003.0
IJOQN,ECOLE DE BIOLOGIE INDUSTRIELLE,EBI,,ECOLE,PRIVE,VAGUE E,Ile de france>versailles>val d oise>paris>cergy,HTTPS://EBI EDU.COM/FR/,"49.032934, 2.065594",0951820M,,388591638.0,Q3577829,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3577829,,FR0279,029RZWJ76,HTTPS://ROR.ORG/029RZWJ76,0000 0004 1764 7863,HTTP://WWW.ISNI.ORG/0000 0004 1764 7863,1992,95127.0,CERGY,UU00851,PARIS,D095,VAL D OISE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,32 BOULEVARD DU PORT,95094,CERGY PONTOISE CEDEX,FRANCE,33185766690.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/HUBEBI,HTTPS://TWITTER.COM/EBICERGY,,Https://www.linkedin.com/school/ c3 a9cole de biologie industrielle/,Https://www.youtube.com/channel/ucmbld2otwt2ufkgcee8tryw,Https://scanr.enseignementsup recherche.gouv.fr/entite/388591638,A L,ECOLE DE BIOLOGIE INDUSTRIELLE EBI,95127.0
CYH3T,Ecole nationale superieure d architecture de clermont ferrand,ENSACF,,ECOLE,PUBLIC,,Auvergne rhone alpes>clermont ferrand>puy de dome>clermont ferrand,HTTP://WWW.CLERMONT FD.ARCHI.FR/,"45.80157, 3.10341",0631287G,19631287000021.0,196312870.0,Q3578176,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578176,029573238,FR0136,04DW8VW47,HTTPS://ROR.ORG/04DW8VW47,0000 0004 0367 1416,HTTP://WWW.ISNI.ORG/0000 0004 0367 1416,,63113.0,CLERMONT FERRAND,UU63701,CLERMONT FERRAND,D063,PUY DE DOME,A06,CLERMONT FERRAND,R84,AUVERGNE RHONE ALPES,R83,AUVERGNE,85 RUE DU DOCTEUR BOUSQUET,63100,CLERMONT FERRAND,FRANCE,33473347150.0,Autre etablissement public national d enseignement,Autre etablissement public national d enseignement,HTTPS://WWW.FACEBOOK.COM/ENSACF,HTTPS://TWITTER.COM/ENSACF,Https://www.instagram.com/ensaclermontferrand/,,Https://www.youtube.com/channel/ucjkuonraye83pgeyqdlb7sg/videos,Https://scanr.enseignementsup recherche.gouv.fr/entite/196312870,A L,Ecole nationale superieure d architecture de clermont ferrand ensacf national architecture school at clermont ferrand,63113.0
NGNNI,Ecole nationale superieure d architecture de paris belleville,ENSAPB,,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 19E,HTTP://WWW.PARIS BELLEVILLE.ARCHI.FR/,"48.87529688720956, 2.3746132850646977",0751877H,19751877200037.0,197518772.0,Q3578187,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578187,028222954,FR0183,01HBQ4R90,HTTPS://ROR.ORG/01HBQ4R90,0000 0001 1182 7351,HTTP://WWW.ISNI.ORG/0000 0001 1182 7351,1969,75119.0,PARIS 19E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,60 BOULEVARD DE LA VILLETTE,75019,PARIS,FRANCE,33153385000.0,Autre etablissement public national d enseignement,Autre etablissement public national d enseignement,Https://www.facebook.com/ecole nationale sup c3 a9rieure darchitecture de paris belleville 918926864869687/,,,,,,A L,Ecole nationale superieure d architecture de paris belleville ensapb,75119.0
ILIW8,Ecole nationale superieure de mecanique et d aerotechnique de poitiers,,ISAE ENSMA,ECOLE,PUBLIC,VAGUE B,Nouvelle aquitaine>poitiers>vienne>poitiers>chasseneuil du poitou,HTTPS://WWW.ENSMA.FR/,"46.661, 0.362013",0860073M,19860073600021.0,198600736.0,Q391044,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q391044,028024400,FR0238,04JX68594,HTTPS://ROR.ORG/04JX68594,0000 0001 2178 9782,HTTP://WWW.ISNI.ORG/0000 0001 2178 9782,1948 04 03,86062.0,CHASSENEUIL DU POITOU,UU86601,POITIERS,D086,VIENNE,A13,POITIERS,R75,NOUVELLE AQUITAINE,R54,POITOU CHARENTES,1 AVENUE CLEMENT ADER,86961,FUTUROSCOPE CHASSENEUIL CEDEX,FRANCE,33549498080.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/ISAE.ENSMA86/,HTTPS://TWITTER.COM/ISAE_ENSMA,,Https://www.linkedin.com/school/ecole nationale sup c3 a9rieure de m c3 a9canique et d a c3 a9rotechnique/,Https://www.youtube.com/channel/ucjckbokzi2k3oig68yooz9w,Https://scanr.enseignementsup recherche.gouv.fr/entite/198600736,A L,Ecole nationale superieure de mecanique et d aerotechnique de poitiers isae ensma,86062.0
A2HM0,Institut des relations publiques et de la communication d’angers,IRCOM,IRCOM,ECOLE,PRIVE,,Pays de la loire>nantes>maine et loire>angers>les ponts de ce,HTTP://WWW.IRCOM.FR/,"47.44304, 0.53222",0492062A,32949147600019.0,329491476.0,Q74181405,Https://www.wikidata.org/entity/q74181405,02960480X,,,,,,1984,49246.0,LES PONTS DE CE,UU49701,ANGERS,D049,MAINE ET LOIRE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,23 RUE EDOUARD GUINEL,49136,LES PONTS DE CE CEDEX,FRANCE,,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/IRCOMGROUPE,HTTPS://TWITTER.COM/IRCOM_GROUPE,,Https://www.linkedin.com/school/1044488?pathwildcard=1044488,HTTPS://WWW.YOUTUBE.COM/USER/GROUPEIRCOM,,A L,Institut des relations publiques et de la communication d’angers ircom ircom,49246.0
XHKD5,Institut superieur du batiment et des travaux publics,ISBA TP,,ECOLE,PRIVE,VAGUE C,Provence alpes cote d azur>aix marseille>bouches du rhone>marseille aix en provence>marseille 9e,HTTPS://WWW.ISBA.FR/,"43.247519881264544, 5.437304377555848",0130238N,18130002100340.0,181300021.0,Q60846049,Https://www.wikidata.org/entity/q60846049,,,,,,,1952,13209.0,MARSEILLE 9E,UU00759,MARSEILLE AIX EN PROVENCE,D013,BOUCHES DU RHONE,A02,AIX MARSEILLE,R93,PROVENCE ALPES COTE D AZUR,R93,PROVENCE ALPES COTE D AZUR,11 AVENUE DE LUMINY,13009,MARSEILLE,FRANCE,,Sans personnalite juridique secteur prive,Sans personnalite juridique secteur prive,,,,,,,A L,Institut superieur du batiment et des travaux publics isba tp,13209.0
Z3HDL,UNIVERSITE DES ANTILLES,,,UNIVERSITE,PUBLIC,VAGUE B,Guadeloupe>pointe a pitre les abymes>pointe a pitre,HTTP://WWW.UNIV ANTILLES.FR/,"16.22505, 61.53016",9710585J,19971585500011.0,199715855.0,Q16682075,Https://www.wikidata.org/entity/q16682075,187841578,FR0282,02RYFMR77,HTTPS://ROR.ORG/02RYFMR77,0000 0001 2197 3053,HTTP://WWW.ISNI.ORG/0000 0001 2197 3053,2015 01 01,97120.0,POINTE A PITRE,UU9A701,POINTE A PITRE LES ABYMES,D971,GUADELOUPE,A32,GUADELOUPE,R01,GUADELOUPE,R01,GUADELOUPE,,97157,POINTE A PITRE CEDEX,FRANCE,33590483030.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNIV.ANTILLES/,HTTPS://TWITTER.COM/UNIVANTILLES,HTTPS://WWW.INSTAGRAM.COM/UNIVANTILLES/,Https://www.linkedin.com/school/universit c3 a9 des antilles/,Https://www.youtube.com/c/universit c3 a9desantilles,Https://scanr.enseignementsup recherche.gouv.fr/entite/199715855,A L,Universite des antilles university of the french west indies,97120.0
HSPPL,AUDENCIA BUSINESS SCHOOL,AUDENCIA,,ECOLE,PRIVE,,Pays de la loire>nantes>loire atlantique>nantes,HTTPS://WWW.AUDENCIA.COM/,"47.20614754106199, 1.5749502182006836",0440112H,49178543200015.84,491785432.83474886,Q1968395,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1968395,028222814,,000AXN811,HTTPS://ROR.ORG/000AXN811,0000 0004 1798 339X,HTTP://WWW.ISNI.ORG/0000 0004 1798 339X,1900,44109.0,NANTES,UU44701,NANTES,D044,LOIRE ATLANTIQUE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,4 RUE BISSON,44105,NANTES CEDEX 4,FRANCE,33240373434.0,SA A CONSEIL D ADMINISTRATION,SA A CONSEIL D ADMINISTRATION,HTTPS://WWW.FACEBOOK.COM/AUDENCIA,HTTPS://TWITTER.COM/AUDENCIA,,Https://www.linkedin.com/school/audencia/,HTTPS://WWW.YOUTUBE.COM/USER/AUDENCIATV,,A,Audencia nantes esc nantes audencia business school audencia,44109.0
1H1NG,Ecole nationale superieure d architecture de toulouse,ENSA TOULOUSE,,ECOLE,PUBLIC,,Occitanie>toulouse>haute garonne>toulouse,Http://www.toulouse.archi.fr/fr/index.html,"43.579717, 1.397345",0310150V,19310150800011.0,193101508.0,Q3578191,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578191,133015572,FR0032,019XP4858,HTTPS://ROR.ORG/019XP4858,,,,31555.0,TOULOUSE,UU00758,TOULOUSE,D031,HAUTE GARONNE,A16,TOULOUSE,R76,OCCITANIE,R73,MIDI PYRENEES,83 RUE ARISTIDE MAILLOL,31106,TOULOUSE CEDEX 1,FRANCE,,Autre etablissement public national d enseignement,Autre etablissement public national d enseignement,,,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/193101508,A L,Ecole nationale superieure d architecture de toulouse ensa toulouse,31555.0
ZOGE5,ECOLE NATIONALE SUPERIEURE DE PAYSAGE,ENSP,,ECOLE,PUBLIC,,Ile de france>versailles>yvelines>paris>versailles,HTTPS://WWW.ECOLE PAYSAGE.FR/FR,"48.799059, 2.123464",0782019W,19782019400029.0,197820194.0,Q3578260,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578260,035622261,FR0332,05D3YKE23,HTTPS://ROR.ORG/05D3YKE23,,,1976,78646.0,VERSAILLES,UU00851,PARIS,D078,YVELINES,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,10 RUE DU MARECHAL JOFFRE,78000,VERSAILLES,FRANCE,33139246200.0,EPA,Etablissement public national a caractere administratif,Https://www.facebook.com/ecolenationalesuperieurepaysage.potagerduroi,,,,,Https://scanr.enseignementsup recherche.gouv.fr/entite/197820194,A L,Ecole nationale superieure de paysage ensp higher national school of landscape,78646.0
WKYKL,ECOLE NATIONALE VETERINAIRE DE TOULOUSE,,ENVT,ECOLE,PUBLIC,,Occitanie>toulouse>haute garonne>toulouse,HTTP://WWW.ENVT.FR/,"43.6004, 1.3819",0310153Y,19310153200011.0,193101532.0,Q3578275,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578275,034817670,FR0329,03M3GZV89,HTTPS://ROR.ORG/03M3GZV89,0000 0001 2164 3505,HTTP://WWW.ISNI.ORG/0000 0001 2164 3505,1825,31555.0,TOULOUSE,UU00758,TOULOUSE,D031,HAUTE GARONNE,A16,TOULOUSE,R76,OCCITANIE,R73,MIDI PYRENEES,23 CHEMIN DES CAPELLES,31076,TOULOUSE CEDEX 3,FRANCE,33561193800.0,EPA,Etablissement public national a caractere administratif,HTTPS://WWW.FACEBOOK.COM/ENVTOULOUSE,HTTPS://TWITTER.COM/ENV_TOULOUSE,Https://www.instagram.com/ecoleveterinairetoulouse/,Https://www.linkedin.com/school/ecole nationale v c3 a9t c3 a9rinaire de toulouse/,Https://www.youtube.com/channel/uclonaes7qbio9jdksfpgt6g,Https://scanr.enseignementsup recherche.gouv.fr/entite/193101532,A L,Ecole nationale veterinaire de toulouse envt,31555.0
QJZCR,Ecole pour l informatique et les techniques avancees,EPITA,,ECOLE,PRIVE,VAGUE E,Ile de france>creteil>val de marne>paris>le kremlin bicetre,HTTPS://WWW.EPITA.FR/,"48.815598, 2.362943",0942095S,89819207500015.44,898192075.4432201,Q1702850,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1702850,,,04R5DDQ29,HTTPS://ROR.ORG/04R5DDQ29,,,1984,94043.0,LE KREMLIN BICETRE,UU00851,PARIS,D094,VAL DE MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,14 RUE VOLTAIRE,94276,LE KREMLIN BICETRE CEDEX,FRANCE,,"SAS, SOCIETE PAR ACTIONS SIMPLIFIEE","SAS, SOCIETE PAR ACTIONS SIMPLIFIEE",HTTPS://WWW.FACEBOOK.COM/EPITA/,HTTPS://TWITTER.COM/EPITA,,,HTTPS://WWW.YOUTUBE.COM/C/EPITAOFFICIEL,,A L,Ecole pour l informatique et les techniques avancees ecole pour l informatique et les techniques avancees epita,94043.0
MUSEY,Ecole superieure d electronique de l ouest,ESEO,ESEO,ECOLE,PRIVE,VAGUE B,Pays de la loire>nantes>maine et loire>angers,HTTP://WWW.ESEO.FR/,"47.493396, 0.550804",0490075R,78611671500016.78,786116715.0,Q3578422,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578422,114146756,FR0097,04NX9PS90,HTTPS://ROR.ORG/04NX9PS90,0000 0000 9399 194X,HTTP://WWW.ISNI.ORG/0000 0000 9399 194X,1956 01 01,49007.0,ANGERS,UU49701,ANGERS,D049,MAINE ET LOIRE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,10 BOULEVARD JEANNETEAU,49107,ANGERS CEDEX 2,FRANCE,33241866767.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://WWW.FACEBOOK.COM/GROUPEESEO/,HTTPS://TWITTER.COM/GROUPE_ESEO,,,Https://www.youtube.com/user/eseositeofficiel,Https://scanr.enseignementsup recherche.gouv.fr/entite/786116715,A L,Ecole superieure d electronique de l ouest eseo,49007.0
YLVKQ,Ecole superieure d ingenieurs leonard de vinci,ESILV,,ECOLE,PRIVE,VAGUE E,Ile de france>versailles>hauts de seine>paris>courbevoie,HTTPS://WWW.ESILV.FR/,"48.896387417065654, 2.236399054527283",0922563L,,,Q3578408,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578408,,FR0259,04SGY3P75,HTTPS://ROR.ORG/04SGY3P75,,,1994,92026.0,COURBEVOIE,UU00851,PARIS,D092,HAUTS DE SEINE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,12 AVENUE LEONARD DE VINCI,92916,PARIS LA DEFENSE CEDEX,FRANCE,33141167172.0,Sans personnalite juridique secteur prive,Sans personnalite juridique secteur prive,HTTPS://WWW.FACEBOOK.COM/ESILVPARIS/,HTTPS://TWITTER.COM/ESILVPARIS,,Https://www.linkedin.com/school/esilv ecole sup c3 a9rieure d ing c3 a9nieurs l c3 a9onard de vinci/,HTTPS://WWW.YOUTUBE.COM/USER/ESILVPARIS,,A L,Ecole superieure d ingenieurs leonard de vinci esilv leonardo da vinci engineering school,92026.0
J36YT,INSTITUT CATHOLIQUE DE PARIS,,ICP,ECOLE,PRIVE,,ILE DE FRANCE>PARIS>PARIS 6E,HTTPS://WWW.ICP.FR/,"48.8483, 2.32936",0753541S,78428073700015.0,784280737.0,Q1470431,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1470431,026453932,FR0204,043A7RC44,HTTPS://ROR.ORG/043A7RC44,0000 0001 2296 6429,HTTP://WWW.ISNI.ORG/0000 0001 2296 6429,1875,75106.0,PARIS 6E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,21 RUE D’ASSAS,75270,PARIS CEDEX 06,FRANCE,33144395200.0,"Association declaree, reconnue d utilite publique","Association declaree, reconnue d utilite publique",Https://www.facebook.com/institutcatholiquedeparis,HTTPS://TWITTER.COM/UNIVCATHOPARIS,Https://www.instagram.com/institutcatholiquedeparis/,Https://www.linkedin.com/school/institut catholique de paris/,Https://www.youtube.com/user/univcathoparis,Https://scanr.enseignementsup recherche.gouv.fr/entite/784280737,A L,Institut catholique de paris catholic university of paris icp,75106.0
K5RYN,INSTITUT TEXTILE ET CHIMIQUE,ITECH,,ECOLE,PRIVE,VAGUE A,Auvergne rhone alpes>lyon>rhone>lyon>ecully,HTTP://WWW.ITECH.FR/,"45.7860356236494, 4.767680168151856",0693364G,32014055100021.0,320140551.0,Q3152645,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3152645,136233902,FR0165,05MV80P58,HTTPS://ROR.ORG/05MV80P58,,,1988,69081.0,ECULLY,UU00760,LYON,D069,RHONE,A10,LYON,R84,AUVERGNE RHONE ALPES,R82,RHONE ALPES,87 CHEMIN DES MOUILLES,69134,ECULLY CEDEX,FRANCE,33472180480.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,HTTPS://FR FR.FACEBOOK.COM/ITECHLYON/,,,Https://www.linkedin.com/company/itech lyon,Https://www.youtube.com/channel/uc9mwxyctazefri3zk8tav8a,Https://scanr.enseignementsup recherche.gouv.fr/entite/320140551,A L,INSTITUT TEXTILE ET CHIMIQUE ITECH,69081.0
Z2FY5,UNIVERSITE DE LA NOUVELLE CALEDONIE,,UNC,UNIVERSITE,PUBLIC,VAGUE C,Collectivites d outre mer>nouvelle caledonie>noumea,HTTPS://UNC.NC/,"22.26238, 166.404073",9830445S,13000322100012.0,130003221.0,Q734332,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q734332,060121076,FR0285,02JRGCX64,HTTPS://ROR.ORG/02JRGCX64,0000 0004 0647 1452,HTTP://WWW.ISNI.ORG/0000 0004 0647 1452,1999 06 02,98818.0,NOUMEA,TOM98818,NOUMEA,D988,NOUVELLE CALEDONIE,A40,NOUVELLE CALEDONIE,R00,COLLECTIVITES D OUTRE MER,R00,COLLECTIVITES D OUTRE MER,145 AVENUE JAMES COOK,98800,NOUMEA,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNIV.NC,HTTPS://TWITTER.COM/UNC_NC,,HTTPS://WWW.LINKEDIN.COM/SCHOOL/UNIV NC/,Https://www.youtube.com/channel/ucgxeo8l_vi36xcgnzap tcw,Https://scanr.enseignementsup recherche.gouv.fr/entite/130003221,A L,Universite de la nouvelle caledonie university of new caledonia unc,98818.0
RN4E6,UNIVERSITE EVRY PARIS SACLAY,,,UNIVERSITE,PUBLIC,VAGUE E,Ile de france>versailles>essonne>paris>evry courcouronnes,HTTPS://WWW.UNIV EVRY.FR/,"48.62425, 2.42738",0911975C,19911975100014.0,199119751.0,Q1531014,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q1531014,030820529,FR0249,00E96V939,HTTPS://ROR.ORG/00E96V939,0000 0001 2180 5818,HTTP://WWW.ISNI.ORG/0000 0001 2180 5818,1991 07 26,91228.0,EVRY COURCOURONNES,UU00851,PARIS,D091,ESSONNE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,BOULEVARD FRANCOIS MITTERRAND,91000,EVRY COURCOURONNES,FRANCE,33169477000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",Https://www.facebook.com/pages/universit c3 a9 devry val dessonne/3922258983,HTTPS://TWITTER.COM/UNIVEVRY,HTTPS://WWW.INSTAGRAM.COM/UNIVEVRY/,Https://www.linkedin.com/school/univevry/,Https://www.youtube.com/c/universit c3 a9devryvaldessonneofficiel,Https://scanr.enseignementsup recherche.gouv.fr/entite/199119751,A L,Universite d evry val d essonne universite evry paris saclay universite d evry val d essonne university of evry val d essonne ueve,91228.0
ZCA4J,UNIVERSITE SAVOIE MONT BLANC,,USMB,UNIVERSITE,PUBLIC,VAGUE A,Auvergne rhone alpes>grenoble>savoie>chambery,HTTPS://WWW.UNIV SMB.FR/,"45.56676, 5.9175",0730858L,19730858800015.0,197308588.0,Q2496158,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q2496158,026369125,FR0170,04GQG1A07,HTTPS://ROR.ORG/04GQG1A07,0000 0001 2193 5487,HTTP://WWW.ISNI.ORG/0000 0001 2193 5487,1979 10 01,73065.0,CHAMBERY,UU73601,CHAMBERY,D073,SAVOIE,A08,GRENOBLE,R84,AUVERGNE RHONE ALPES,R82,RHONE ALPES,27 RUE MARCOZ,73000,CHAMBERY,FRANCE,33479758585.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/UNIVSAVOIE,HTTPS://TWITTER.COM/UNIV_SAVOIE,,,Https://www.youtube.com/channel/ucaxqzkfhswpeahe3ams6ymw,Https://scanr.enseignementsup recherche.gouv.fr/entite/197308588,A L,Universite de chambery universite de savoie universite savoie mont blanc university savoie mont blanc usmb,73065.0
6TH4V,"Institut mines telecom, au perimetre des ecoles imt atlantique, lille douai, albi, ales, mines saint etienne et institut mines telecom business school",,IMT,GRAND ETABLISSEMENT,PUBLIC,VAGUE D,Ile de france>versailles>essonne>paris>palaiseau,HTTPS://WWW.IMT.FR/,"48.7132, 2.19972",0912424R 0755661W,18009202500089.18,180092025.0,Q7885718,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q7885718,192427156,,025VP2923,HTTPS://ROR.ORG/025VP2923,0000 0001 2202 567X,HTTP://WWW.ISNI.ORG/0000 0001 2202 567X,2012 03 01,91477.0,PALAISEAU,UU00851,PARIS,D091,ESSONNE,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,19 PLACE MARGUERITE PEREY,91120,PALAISEAU,FRANCE,33175314000.0,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",HTTPS://WWW.FACEBOOK.COM/IMT.FRANCE,HTTPS://TWITTER.COM/IMTFRANCE,HTTPS://WWW.INSTAGRAM.COM/IMT.FRANCE/,Https://www.linkedin.com/company/imt france/,HTTPS://WWW.YOUTUBE.COM/C/IMTFRANCE,Https://scanr.enseignementsup recherche.gouv.fr/entite/180092025,A L,INSTITUT MINES TELECOM IMT,91477.0
1UWNS,EIGSI LA ROCHELLE,,EIGSI,ECOLE,PRIVE,VAGUE B,Nouvelle aquitaine>poitiers>charente maritime>la rochelle,HTTP://WWW.EIGSI.FR/,"46.13977, 1.15462",0171435T,35340877600022.0,353408776.0,Q3577771,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3577771,035348127,FR0013,03HZ42Y69,HTTPS://ROR.ORG/03HZ42Y69,0000 0001 0018 053X,HTTP://WWW.ISNI.ORG/0000 0001 0018 053X,1990 09 01,17300.0,LA ROCHELLE,UU17601,LA ROCHELLE,D017,CHARENTE MARITIME,A13,POITIERS,R75,NOUVELLE AQUITAINE,R54,POITOU CHARENTES,26 RUE DE VAUX DE FOLETIER,17041,LA ROCHELLE CEDEX 1,FRANCE,33546458000.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,Https://www.facebook.com/eigsi.ingenieurs,HTTPS://TWITTER.COM/EIGSI,HTTPS://WWW.INSTAGRAM.COM/MYEIGSI/,,Https://www.youtube.com/user/eigsilarochelle,Https://scanr.enseignementsup recherche.gouv.fr/entite/353408776,A L,Ecole d’ingenieurs generalistes – la rochelle (eigsi) ecole d ingenieurs en genie des systemes industriels eigsi la rochelle eigsi,17300.0
